"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DVZQW9KL","journalArticle","2002","Patrick, Walter K.; Cadman, Edwin C.","Changing emphases in public health and medical education in health care reform","Asia-Pacific Journal of Public Health","","1010-5395","10.1177/101053950201400108","","Globalisation of economies, diseases and disasters with poverty, emerging infectious diseases, ageing and chronic conditions, violence and terrorism has begun to change the face of public health and medical education. Escalating costs of care and increasing poverty have brought urgency to professional training to improve efficiency, cut costs and maintain gains in life expectancy and morbidity reduction. Technology, genetics research and designer drugs have dramatically changed medical practice. Creatively, educational institutions have adopted the use of: (1) New educational and communication technologies: internet and health informatics; (2) Problem based learning approaches; Integrated Practice and Theory Curricula; Research and Problem Solving methodologies and (3) Partnership and networking of institutions to synergise new trends (e.g. core competencies). Less desirably, changes are inadequate in key areas, e.g., Health Economics, Poverty and Health Development, Disaster Management & Bioterrorism and Ethics. Institutions have begun to adjust and develop new programs of study to meet challenges of emerging diseases, design methodologies to better understand complex social and economic determinants of disease, assess the effects of violence and address cost containment strategies in health. Besides redesigning instruction, professional schools need to conduct research to assess the impact of health reform. Such studies will serve as sentinels for the public's health, and provide key indicators for improvements in training, service provision and policy.","2002","2023-01-17 12:05:20","2023-01-17 12:05:20","","35-39","","1","14","","Asia Pac J Public Health","","","","","","","","eng","","","","","PubMed","","PMID: 12597516","","","http://www.ncbi.nlm.nih.gov/pubmed/12597516","","Humans; Global Health; Public Health; Schools, Public Health; Asia; Curriculum; Education, Medical; Health Care Reform; Internationality; Medical Informatics; Organizational Innovation; Schools, Medical; Social Change","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UC2D9QTC","journalArticle","1997","Pearce, N.","[Traditional epidemiology, modern epidemiology and public health]","Epidemiologia E Prevenzione","","1120-9763","","","There have been significant developments in epidemiologic methodology during the past century, including changes in basic concepts, methods of data analysis, and methods of exposure measurement. However, the rise of modern epidemiology has been a mixed blessing, and the new paradigm has major shortcomings, both in public health and scientific terms. The changes in the paradigm have not been neutral but have rather helped change- and have reflected changes in-the way in which epidemiologists think about health and disease. The key issue has been the shift in the level of analysis from the population to the individual. Epidemiology has largely ceased to function as part of a multidisciplinary approach to understanding the causation of disease in populations and has become a set of generic methods for measuring associations of exposure and disease in individuals. This reductionist approach focuses on the individual, blames the victim, and produces interventions that can be harmful. We seem to be using more and more advanced technology to study more and more trivial issues, while the major causes of disease are ignored. Epidemiology must reintegrate itself into public health and must rediscover the population perspective.","1997","2023-01-17 12:05:20","2023-01-17 12:05:20","","92-99","","2","21","","Epidemiol Prev","","","","","","","","ita","","","","","PubMed","","PMID: 9378189","","","http://www.ncbi.nlm.nih.gov/pubmed/9378189","","Humans; Public Health; Disease; Epidemiologic Methods; Epidemiology; Goals; Population Surveillance; Risk Factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6J6FWP3R","journalArticle","2000","Parry, S. M.; Palmer, S. R.","The public health significance of VTEC O157","Symposium Series (Society for Applied Microbiology)","","1467-4734","10.1111/j.1365-2672.2000.tb05326.x","","Surveillance of human VTEC O157 has been reported in several countries, based on laboratory evidence. The incidence is generally less than 10 per 100000 (the highest incidence is in children), with regional variations and a marked seasonality. Laboratory selection criteria and reporting have contributed to, but cannot entirely explain, variations within and between countries. Surveillance data and outbreaks in definable cohorts indicate that the spectrum of illness ranges from diarrhoea through acute bloody diarrhoea, with about 5% of cases developing haemolytic uraemic syndrome; less than 50% of patients report frank blood in their stools. Studies of sporadic cases have associated illness with beef products (particularly if undercooked and eaten outside the home), cooked sliced meat meals and contact with a household member with diarrhoea. Outbreaks have been attributed to contaminated foods (including beefburgers) and water, animal contact and person-to-person spread. Secondary transmission by the primary case in a household is of particular concern, and household transmission has been estimated at 4%, with patients excreting for around 10 days following onset. Recommendations for control have highlighted measures on farms, in slaughterhouses, retail and catering food premises, and in the home.","2000","2023-01-17 12:05:20","2023-01-17 12:05:20","","1S-9S","","29","","","Symp Ser Soc Appl Microbiol","","","","","","","","eng","","","","","PubMed","","PMID: 10880174","","","http://www.ncbi.nlm.nih.gov/pubmed/10880174","","Aged; Female; Humans; United Kingdom; Population Surveillance; Adolescent; Adult; Child; Child, Preschool; Escherichia coli Infections; Escherichia coli O157; Incidence; Infant; Male; Middle Aged; Seasons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNXPSJ6X","journalArticle","2003","Petro, James B.; Relman, David A.","Public health. Understanding threats to scientific openness","Science (New York, N.Y.)","","1095-9203","10.1126/science.1092493","","","2003-12-12","2023-01-17 12:05:20","2023-01-17 12:05:20","","1898","","5652","302","","Science","","","","","","","","eng","","","","","PubMed","","PMID: 14671279","","; C:\Users\Papa ours\Zotero\storage\VIBC8L68\Petro et Relman - 2003 - Public health. Understanding threats to scientific.pdf","http://www.ncbi.nlm.nih.gov/pubmed/14671279","","Access to Information; Biological Warfare; Biomedical Research; Bioterrorism; Guidelines as Topic; Publishing; Research Personnel; Security Measures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GX4PRAP","journalArticle","1994","Pinder, L.","Medicine for the twenty-first century: challenges in personal and public health promotion","American Journal of Preventive Medicine","","0749-3797","","","Over the last two decades, definitions of health and what creates health have changed dramatically. Health promotion concepts and practices have been in the forefront of that change and have had considerable impact on how health is viewed and what contributes to it. The fact remains, however, that, at this point, its true potential is largely unrealized. Canada has played a significant role in the development of health promotion internationally through cosponsorship of the First International Conference on Health Promotion in 1986, which produced the Ottawa Charter, and nationally through the release of Achieving Health for All: A Framework for Health Promotion in the same year. I review the background of health promotion from an international perspective, but I focus on the Canadian experience. Drawing on experience gained over many years of attempting to implement health promotion and analyze its impact, I present current issues and emphasize the need for strategic direction.","1994","2023-01-17 12:05:20","2023-01-17 12:05:20","","39-41","","3 Suppl","10","","Am J Prev Med","Medicine for the twenty-first century","","","","","","","eng","","","","","PubMed","","PMID: 7917456","","","http://www.ncbi.nlm.nih.gov/pubmed/7917456","","Humans; Health Promotion; Preventive Medicine; Primary Health Care; Time Factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B2VQ5MCX","journalArticle","2022","Plante, Charles; Sandhu, Navdeep; Bandara, Thilina; Fuller, Daniel; Neudorf, Cordell","Defining the ""local public health unit"" for public health systems and services research in Canada","Canadian Journal of Public Health = Revue Canadienne De Sante Publique","","1920-7476","10.17269/s41997-022-00714-9","","","2022-12-02","2023-01-17 12:05:20","2023-01-17 23:16:43","","1-5","","","","","Can J Public Health","","","","","","","","eng","","","","","PubMed","","PMID: 36459365 PMCID: PMC9717555","","; C:\Users\Papa ours\Zotero\storage\S8DVHVDB\display.html; C:\Users\Papa ours\Zotero\storage\R2CN63YE\Plante et al. - 2022 - Defining the local public health unit for public.pdf","http://www.ncbi.nlm.nih.gov/pubmed/36459365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STIBKNTK","journalArticle","2021","Polisena, Julie; Ospina, Maria; Sanni, Omolara; Matenchuk, Brittany; Livergant, Rachel; Amjad, Sana; Zoric, Igor; Haddad, Nisrine; Morrison, Andra; Wilson, Kumanan; Bogoch, Isaac; Welch, Vivian A.","Public health measures to reduce the risk of SARS-CoV-2 transmission in Canada during the early days of the COVID-19 pandemic: a scoping review","BMJ open","","2044-6055","10.1136/bmjopen-2020-046177","","OBJECTIVE: The main objectives of this study were to synthesise and compare pandemic preparedness strategies issued by the federal and provincial/territorial (P/T) governments in Canada and to assess whether COVID-19 public health (PH) measures were tailored towards priority populations, as defined by relevant social determinants of health. METHODS: This scoping review searched federal and P/T websites on daily COVID-19 pandemic preparedness strategies between 30 January and 30 April 2020. The PROGRESS-Plus equity-lens framework was used to define priority populations. All definitions, policies and guidelines of PH strategies implemented by the federal and P/T governments to reduce risk of SARS-CoV-2 transmission were included. PH measures were classified using a modified Public Health Agency of Canada Framework for Canadian Pandemic Influenza Preparedness. RESULTS: A total of 722 COVID-19 PH measures were issued during the study period. Of these, home quarantine (voluntary) (n=13.0%; 94/722) and retail/commerce restrictions (10.9%; n=79/722) were the most common measures introduced. Many of the PH orders, including physical distancing, cancellation of mass gatherings, school closures or retail/commerce restrictions began to be introduced after 11 March 2020. Lifting of some of the PH orders in phases to reopen the economy began in April 2020 (6.5%; n=47/722). The majority (68%, n=491/722) of COVID-19 PH announcements were deemed mandatory, while 32% (n=231/722) were recommendations. Several PH measures (28.0%, n=202/722) targeted a variety of groups at risk of socially produced health inequalities, such as age, religion, occupation and migration status. CONCLUSIONS: Most PH measures centred on limiting contact between people who were not from the same household. PH measures were evolutionary in nature, reflecting new evidence that emerged throughout the pandemic. Although ~30% of all implemented COVID-19 PH measures were tailored towards priority groups, there were still unintended consequences on these populations.","2021-03-09","2023-01-17 12:05:20","2023-01-17 12:05:20","","e046177","","3","11","","BMJ Open","Public health measures to reduce the risk of SARS-CoV-2 transmission in Canada during the early days of the COVID-19 pandemic","","","","","","","eng","","","","","PubMed","","PMID: 33687956 PMCID: PMC7944419","","; C:\Users\Papa ours\Zotero\storage\SV7W9USW\Polisena et al. - 2021 - Public health measures to reduce the risk of SARS-.pdf","http://www.ncbi.nlm.nih.gov/pubmed/33687956","","Humans; COVID-19; Pandemics; Canada; Communicable Disease Control; Crowding; health policy; infection control; Physical Distancing; public health; Quarantine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M6R7EG8J","journalArticle","2007","Pommier, Jeanine; Grimaud, Olivier","[Essential public health functions: history, definition and potential applications]","Sante Publique (Vandoeuvre-Les-Nancy, France)","","0995-3914","10.3917/spub.070.0009","","","2007","2023-01-17 12:05:20","2023-01-17 12:05:20","","S9-14","","","19 Suppl 1","","Sante Publique","[Essential public health functions","","","","","","","fre","","","","","PubMed","","PMID: 17685098","","","http://www.ncbi.nlm.nih.gov/pubmed/17685098","","Humans; Public Health; Health Policy; Health Promotion; Communicable Disease Control; Community Participation; Health Education; History, 20th Century; History, 21st Century; Organizational Objectives; Pan American Health Organization; Primary Prevention; Public Health Administration; World Health Organization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQXEDIJT","conferencePaper","2014","Ramos, V.","Process definition on information systems for epidemiology and public health","","978-3-319-03004-3","","10.1007/978-3-319-03005-0_78","","The process definition assessment on Information systems includes a number of activities oriented to trace the effects, in a broad sense, further to its communication or diffusion in a non-scientific arena. The first scope is to know the returns of all resources allocated, although the scope is wider as it also pretends, in the long-run, to orient process in itself and its funding schemes and priorities with the objective of assessing the social returns, epidemiological, health services and public health, and of contributing to the existing experience knowledge in this field of disciplines. With this scope, the present document overviews the open challenges, and proposes an adapted framework and highlights methodological issues for further applications. Burden of disease, variability in clinical practice, and the cost-effectiveness of healthcare interventions are among the most common criteria used to evaluate the relevance of research topics. Other aspects that are usually considered but which are more difficult to quantify include the existence of social inequalities in health, social and environmental situation, between others. Although it is agreed that explicit criteria should be used to prioritize funding, no standard method is currently used. It is required a framework that included concepts pertaining to organizational system dynamics, as well as social (e.g. well-being) and economic value, in addition to measures of traditional scientific impact. The objectives of this study were to (i) identify new criteria for priority-setting in health service topics; (ii) develop a composite priority score; and (iii) evaluate the reliability and validity of the final priority score. After being adapted, the new method should be more appropriate to assess topics in a broader area, such as Epidemiology and Public Health. © 2014, Springer International Publishing Switzerland.","2014","2023-01-17 12:05:20","2023-01-17 12:05:20","","308-310","","","42","","","","","","","","","","English","","","Scopus","","Scopus","","ISSN: 1680-0737","","","","","Public health; Information systems; Priority settings; Process assessment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IFMBE Proceedings","","","","","","","","","","","","","","",""
"KFPRQDZP","journalArticle","2022","Prudden, Holly J.; Achilles, Sharon L.; Schocken, Celina; Broutet, Nathalie; Canfell, Karen; Akaba, Hiroki; Basu, Partha; Bhatla, Neerja; Chirenje, Z. Mike; Delany-Moretlwe, Sinead; Denny, Lynette; Gamage, Deepa G.; Herrero, Rolando; Hutubessy, Raymond; Villa, Luisa Lina; Murillo, Raul; Schiller, John T.; Stanley, Margaret; Temmerman, Marleen; Zhao, Fanghui; Ogilvie, Gina; Kaslow, David C.; Dull, Peter; Gottlieb, Sami L.; Therapeutic HPV Vaccine PPC Expert Consultation Group*","Understanding the public health value and defining preferred product characteristics for therapeutic human papillomavirus (HPV) vaccines: World Health Organization consultations, October 2021-March 2022","Vaccine","","1873-2518","10.1016/j.vaccine.2022.08.020","","The World Health Organization (WHO) global strategy to eliminate cervical cancer (CxCa) could result in &gt;62 million lives saved by 2120 if strategy targets are reached and maintained: 90% of adolescent girls receiving prophylactic human papillomavirus (HPV) vaccine, 70% of women receiving twice-lifetime cervical cancer screening, and 90% of cervical pre-cancer lesions and invasive CxCa treated. However, the cost and complexity of CxCa screening and treatment approaches has hampered scale-up, particularly in low- and middle-income countries (LMICs), and new approaches are needed. Therapeutic HPV vaccines (TxV), which could clear persistent high-risk HPV infection and/or cause regression of pre-cancerous lesions, are in early clinical development and might offer one such approach. During October 2021 to March 2022, WHO, in collaboration with the Bill and Melinda Gates Foundation, convened a series of global expert consultations to lay the groundwork for understanding the potential value of TxV in the context of current CxCa prevention efforts and for defining WHO preferred product characteristics (PPCs) for TxV. WHO PPCs describe preferences for vaccine attributes that would help optimize vaccine value and use in meeting the global public health need. This paper reports on the main discussion points and findings from the expert consultations. Experts identified several ways in which TxV might address challenges in current CxCa prevention programmes, but emphasized that the potential value of TxV will depend on their degree of efficacy and how quickly they can be developed and implemented relative to ongoing scale-up of existing interventions. Consultation participants also discussed potential use-cases for TxV, important PPC considerations (e.g., vaccine indications, target populations, and delivery strategies), and critical modelling needs for predicting TxV impact and cost-effectiveness.","2022-09-29","2023-01-17 12:05:20","2023-01-17 12:05:20","","5843-5855","","41","40","","Vaccine","Understanding the public health value and defining preferred product characteristics for therapeutic human papillomavirus (HPV) vaccines","","","","","","","eng","","","","","PubMed","","PMID: 36008233","","; C:\Users\Papa ours\Zotero\storage\PMRWNZYA\Prudden et al. - 2022 - Understanding the public health value and defining.pdf","http://www.ncbi.nlm.nih.gov/pubmed/36008233","","Female; Humans; Public Health; Adolescent; World Health Organization; Alphapapillomavirus; Cervical cancer; Early Detection of Cancer; HPV; Papillomaviridae; Papillomavirus Infections; Papillomavirus Vaccines; Preferred product characteristics; Referral and Consultation; Therapeutic HPV vaccine; Uterine Cervical Neoplasms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUYRSH2G","journalArticle","2021","Ramsay, T.; Young, K.","INVITED COMMENTARIES DEFINING CLINICAL PUBLIC HEALTH — PUBLISHED 44(2) JUNE 2021","Clinical and Investigative Medicine","","0147-958X","10.25011/cim.v44i2.36449","","","2021","2023-01-17 12:05:13","2023-01-17 12:05:13","","77-77","","2","44","","","","","","","","","","English","","","Scopus","","Scopus","","","","C:\Users\Papa ours\Zotero\storage\4BKVWZVP\Ramsay et Young - 2021 - INVITED COMMENTARIES DEFINING CLINICAL PUBLIC HEAL.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
