"Author","Title","DOI","citations"
"Prudden, Holly J.; Achilles, Sharon L.; Schocken, Celina; Broutet, Nathalie; Canfell, Karen; Akaba, Hiroki; Basu, Partha; Bhatla, Neerja; Chirenje, Z. Mike; Delany-Moretlwe, Sinead; Denny, Lynette; Gamage, Deepa G.; Herrero, Rolando; Hutubessy, Raymond; Villa, Luisa Lina; Murillo, Raul; Schiller, John T.; Stanley, Margaret; Temmerman, Marleen; Zhao, Fanghui; Ogilvie, Gina; Kaslow, David C.; Dull, Peter; Gottlieb, Sami L.; Therapeutic HPV Vaccine PPC Expert Consultation Group*","Understanding the public health value and defining preferred product characteristics for therapeutic human papillomavirus (HPV) vaccines: World Health Organization consultations, October 2021-March 2022","10.1016/j.vaccine.2022.08.020","Pas d'informations sur GS"
"Ramsay, T.; Young, K.","INVITED COMMENTARIES DEFINING CLINICAL PUBLIC HEALTH — PUBLISHED 44(2) JUNE 2021","10.25011/cim.v44i2.36449","Pas d'informations sur GS"
"Riley, W.J.; Moran, J.W.; Corso, L.C.; Beitsch, L.M.; Bialek, R.; Cofsky, A.","Defining quality improvement in public health","10.1097/PHH.0b013e3181bedb49","Citato da 160"
"Rothstein, Mark A.","Rethinking the meaning of public health","10.1111/j.1748-720x.2002.tb00381.x","Citato da 195"
"Roussel, V.","Scandals and changes of political responsibility. Redefinitions in context of public health and security's cases in France","10.3917/rfsp.586.0953","Citato da 20"
"Ryan, Benjamin J.; Franklin, Richard C.; Burkle, Frederick M.; Watt, Kerrianne; Aitken, Peter; Smith, Erin C.; Leggat, Peter","Defining, Describing, and Categorizing Public Health Infrastructure Priorities for Tropical Cyclone, Flood, Storm, Tornado, and Tsunami-Related Disasters","10.1017/dmp.2016.3","Citato da 18"
"Rychetnik, Lucie; Hawe, Penelope; Waters, Elizabeth; Barratt, Alexandra; Frommer, Michael","A glossary for evidence based public health","10.1136/jech.2003.011585","Citato da 71"
"Samuel, Gabrielle; Derrick, Gemma","Defining ethical standards for the application of digital tools to population health research","10.2471/BLT.19.237370","Citato da 16"
"Schwalbe, Nina; Wahl, Brian; Song, Jingyi; Lehtimaki, Susanna","Data Sharing and Global Public Health: Defining What We Mean by Data","10.3389/fdgth.2020.612339","Citato da 7"
"Seifman, R.; Kornblet, S.; Standley, C.; Sorrell, E.; Fischer, J.; Katz, R.","Think big, World Bank: Time for a public health safeguard","10.1016/S2214-109X(15)70012-4","Citato da 9"
"Sell, Tara Kirk; Hosangadi, Divya; Trotochaud, Marc; Purnat, Tina D.; Nguyen, Tim; Briand, Sylvie","Improving Understanding of and Response to Infodemics During Public Health Emergencies","10.1089/hs.2021.0044","Citato da 7"
"Singh, Simone R.","Public health spending and population health: a systematic review","10.1016/j.amepre.2014.05.017","Citato da 70"
"Skinner, Daniel; Franz, Berkeley; Taylor, Matthew; Shaw, Chantelle; Kelleher, Kelly J.","How U.S. children's hospitals define population health: a qualitative, interview-based study","10.1186/s12913-018-3303-7","Citato da 18"
"Sørensen, Kristine; Van den Broucke, Stephan; Fullam, James; Doyle, Gerardine; Pelikan, Jürgen; Slonska, Zofia; Brand, Helmut; (HLS-EU) Consortium Health Literacy Project European","Health literacy and public health: a systematic review and integration of definitions and models","10.1186/1471-2458-12-80","Citato da 3"
"Solomons, Noel W.","Developmental origins of health and disease: concepts, caveats, and consequences for public health nutrition","10.1111/j.1753-4887.2009.00152.x","Citato da 48"
"Spink, John; Moyer, Douglas C.","Defining the public health threat of food fraud","10.1111/j.1750-3841.2011.02417.x","Citato da 731"
"Stute, Michelle; Hurwood, Andrea; Hulcombe, Julie; Kuipers, Pim","Defining the role and scope of practice of allied health assistants within Queensland public health services","10.1071/AH13042","Citato da 20"
"Svendsen, Erik R.; Runkle, Jennifer R.; Dhara, Venkata Ramana; Lin, Shao; Naboka, Marina; Mousseau, Timothy A.; Bennett, Charles","Epidemiologic methods lessons learned from environmental public health disasters: Chernobyl, the World Trade Center, Bhopal, and Graniteville, South Carolina","10.3390/ijerph9082894","Citato da 19"
"Thomas, Elaine; Peat, George; Croft, Peter","Defining and mapping the person with osteoarthritis for population studies and public health","10.1093/rheumatology/ket346","Citato da 144"
"Teutsch, Steven M.; Fielding, Jonathan E.","Rediscovering the core of public health","10.1146/annurev-publhealth-031912-114433","Citato da 39"
"Tierney, William M.","Use of Stakeholder Focus Groups to Define the Mission and Scope of a new Department of Population Health","10.1007/s11606-018-4403-0","Citato da 4"
"Trinh-Shevrin, Chau; Islam, Nadia S.; Nadkarni, Smiti; Park, Rebecca; Kwon, Simona C.","Defining an integrative approach for health promotion and disease prevention: a population health equity framework","10.1353/hpu.2015.0067","Citato da 53"
"Weed, Douglas L.; McKeown, Robert E.","Science and social responsibility in public health","10.1289/ehp.6198","Citato da 84"
"Watts, Rory D.; Bowles, Devin C.; Ryan, Eli; Fisher, Colleen; Li, Ian W.","No Two Workforces Are the Same: A Systematic Review of Enumerations and Definitions of Public Health Workforces","10.3389/fpubh.2020.588092","Citato da 5"
"Wójcik, Oktawia P.; Brownstein, John S.; Chunara, Rumi; Johansson, Michael A.","Public health for the people: participatory infectious disease surveillance in the digital age","10.1186/1742-7622-11-7","Citato da 135"
"Wolfenden, Luke; Bolsewicz, Katarzyna; Grady, Alice; McCrabb, Sam; Kingsland, Melanie; Wiggers, John; Bauman, Adrian; Wyse, Rebecca; Nathan, Nicole; Sutherland, Rachel; Hodder, Rebecca Kate; Fernandez, Maria; Lewis, Cara; Taylor, Natalie; McKay, Heather; Grimshaw, Jeremy; Hall, Alix; Moullin, Joanna; Albers, Bianca; Batchelor, Samantha; Attia, John; Milat, Andrew; Bailey, Andrew; Rissel, Chris; Reeves, Penny; Sims-Gould, Joanie; Mildon, Robyn; Doran, Chris; Yoong, Sze Lin","Optimisation: defining and exploring a concept to enhance the impact of public health initiatives","10.1186/s12961-019-0502-6","Pas d'informations sur GS"
"Caldararo, Kristi L.; Nash, David B.","Population Health Research: Early Description of the Organizational Shift Toward Population Health Management and Defining a Vision for Leadership","10.1089/pop.2016.0172","Citato da 12"
"Buckeridge, David L.","Precision, Equity, and Public Health and Epidemiology Informatics - A Scoping Review","10.1055/s-0040-1701989","Citato da 10"
"Carey, G.; Malbon, E.; Carey, N.; Joyce, A.; Crammond, B.; Carey, A.","Systems science and systems thinking for public health: A systematic review of the field","10.1136/bmjopen-2015-009002","Citato da 286"
"Carlson, V.; Chilton, M.J.; Corso, L.C.; Beitsch, L.M.","Defining the functions of public health governance","10.2105/AJPH.2014.302198","Citato da 39"
"Carter-Pokras, Olivia; Bethune, Lisa","Defining and measuring acculturation: a systematic review of public health studies with Hispanic populations in the United States. A commentary on Thomson and Hoffman-Goetz","10.1016/j.socscimed.2009.06.042","Citato da 527"
"Chapman, J.L.; Shaw, S.; Carter, Y.H.; Petchey, R.","Public health capacity in the new primary care organizations: Defining a workforce that is fit for the purpose","10.1080/09581590310001647524","Citato da 18"
"Chatelan, Angeline; Khalatbari-Soltani, Saman","Evaluating and rethinking public health for the 21st century: Toward vulnerable population interventions","10.3389/fpubh.2022.1033270","Pas d'informations sur GS"
"Choi, B. C. K.; Pak, A. W. P.; Ottoson, J. M.","Understanding the basic concepts of public health surveillance","10.1136/jech.56.6.402","Citato da 17"
"Choi, Bernard C. K.","The past, present, and future of public health surveillance","10.6064/2012/875253","Citato da 186"
"Choi, Bernard C. K.; Pakes, Barry; Bilotta, Rose; Graham, Kathryn; Gupta, Neeru; King, Arlene S.; Dimaras, Helen; Xiaolin Wei; Gibson, Brian; Reynolds, Donna L.; Morris, Shaun K.; Selby, Peter; Harvey, Bart J.; Fox, Ann L.; Rachlis, Beth; Bhuiyan, Shafi; Nnorom, Onye; Upshur, Ross; Choi, Bernard; Wei, Xiaolin","Defining Clinical Public Health","10.25011/cim.v44i2.36479","Citato da 4"
"Chughtai, Saad; Blanchet, Karl","Systems thinking in public health: a bibliographic contribution to a meta-narrative review","10.1093/heapol/czw159","Citato da 65"
"Cohen, Deborah; Huynh, Tai; Sebold, Anne; Harvey, Jean; Neudorf, Cory; Brown, Adalsteinn","The population health approach: A qualitative study of conceptual and operational definitions for leaders in Canadian healthcare","10.1177/2050312114522618","Citato da 57"
"Cohen, M.","Containing, thinking and public health","10.1108/17465729200700019","Citato da 1"
"Colin, C.","[Public health in Quebec at the dawn of the 21st century]","10.3917/spub.042.0185","Citato da 2"
"Collins, Téa; Akselrod, Svetlana; Bloomfield, Ashley; Gamkrelidze, Amiran; Jakab, Zsuzsanna; Placella, Erika","Rethinking the COVID-19 Pandemic: Back to Public Health","10.5334/aogh.3084","Citato da 16"
"Connelly, J.; Knight, T.; Cunningham, C.; Duggan, M.; McClenahan, J.","Rethinking public health: new training for new times","10.1108/02689239910292927","Citato da 17"
"Danielsson, N.; ECDC Internal Response Team; Catchpole, M.","Novel coronavirus associated with severe respiratory disease: case definition and public health measures","10.2807/ese.17.39.20282-en","Citato da 54"
"Contini, Carlo; Caselli, Elisabetta; Martini, Fernanda; Maritati, Martina; Torreggiani, Elena; Seraceni, Silva; Vesce, Fortunato; Perri, Paolo; Rizzo, Leonzio; Tognon, Mauro","COVID-19 Is a Multifaceted Challenging Pandemic Which Needs Urgent Public Health Interventions","10.3390/microorganisms8081228","Citato da 34"
"Coronado, Fátima; Beck, Angela J.; Shah, Gulzar; Young, Jessica L.; Sellers, Katie; Leider, Jonathon P.","Understanding the Dynamics of Diversity in the Public Health Workforce","10.1097/PHH.0000000000001075","Citato da 29"
"De Cleen, Benjamin; Speed, Ewen","Getting the Problem Definition Right: The Radical Right, Populism, Nativism and Public Health Comment on ""A Scoping Review of Populist Radical Right Parties' Influence on Welfare Policy and its Implications for Population Health in Europe""","10.34172/ijhpm.2020.143","Citato da 8"
"Das, Kirti V.; Jones-Harrell, Carla; Fan, Yingling; Ramaswami, Anu; Orlove, Ben; Botchwey, Nisha","Understanding subjective well-being: perspectives from psychology and public health","10.1186/s40985-020-00142-5","Citato da 59"
"De Rosa, C. T.; Pohl, H. R.; Williams, M.; Ademoyero, A. A.; Chou, C. H.; Jones, D. E.","Public health implications of environmental exposures","10.1289/ehp.98106s1369","Citato da 28"
"Degeling, Chris; Carter, Stacy M.; Rychetnik, Lucie","Which public and why deliberate?--A scoping review of public deliberation in public health and health policy research","10.1016/j.socscimed.2015.03.009","Citato da 187"
"Deguma, Jabin J.; Capuno, Reylan G.; Manguilimotan, Ramil P.; Padillo, Gengen G.; Deguma, Melona C.","Redefining public health and sustainable economy: Covid-19 from pandemic to endemic","10.1093/pubmed/fdab331","Citato da 6"
"Delobelle, P.","Public health: A need to think outside the box","10.1016/S0140-6736(11)61900-4","Citato da 2"
"Derby, Carol A.","Trends in the public health significance, definitions of disease, and implications for prevention of Alzheimer's disease","10.1007/s40471-020-00231-8","Citato da 7"
"Dickinson-Copeland, Carmen; Weber, Samantha Bent","Rethinking the Black Panther Party Can Help Us Rethink Our Strategies in Public Health","10.2105/AJPH.2017.303679","Citato da 1"
"Dilley, Julia A.; Bekemeier, Betty; Harris, Jeffrey R.","Quality improvement interventions in public health systems: a systematic review","10.1016/j.amepre.2012.01.022","Citato da 76"
"Edberg, Mark; Cleary, Sean; Simmons, Lauren B.; Cubilla-Batista, Idalina; Andrade, Elizabeth L.; Gudger, Glencora","DEFINING THE ""COMMUNITY"" FOR A COMMUNITY-BASED PUBLIC HEALTH INTERVENTION ADDRESSING LATINO IMMIGRANT HEALTH DISPARITIES: AN APPLICATION OF ETHNOGRAPHIC METHODS","10.17730/humo.74.1.6561p4u727582850","Citato da 14"
"Efevbera, Yvette; Bhabha, Jacqueline","Defining and deconstructing girl child marriage and applications to global public health","10.1186/s12889-020-09545-0","Citato da 40"
"Eikemo, T. A.; Bambra, C.","The welfare state: a glossary for public health","10.1136/jech.2007.066787","Citato da 225"
"English, Rene; Yauka Nyasulu, Juliet Charity; Berner, Karina; Geduld, Heike; McCaul, Michael; Joseph, Conran; Pappin, Michele; Gobat, Nina; Boulanger, Linda Lucy; Louw, Quinette","Defining and identifying critical elements of, and lessons learned from addressing, 'operational readiness' for public health emergency events, including COVID-19: a scoping review protocol","10.1136/bmjopen-2021-060526","Pas d'informations sur GS"
"Eves, F.F.","Public health doesn't care what Fodor thinks","10.1016/j.jarmac.2015.12.005","Citato da 5"
"Fielding, J. E.","Public health in the twentieth century: advances and challenges","10.1146/annurev.publhealth.20.1.0","Citato da 5078"
"Fischer, Sara Elisa; Patil, Poorvaprabha; Zielinski, Chris; Baxter, Lori; Bonilla-Escobar, Francisco Javier; Hussain, Shabina; Lai, Claudia; Walpole, Sarah Catherine; Ohanyido, Francis; Flood, David; Singh, Ambrish; Al-Shorbaji, Najeeb","Is it about the ‘where’ or the ‘how’? Comment on Defining global health as public health somewhere else","10.1136/bmjgh-2020-002567","Citato da 6"
"Farley, Thomas A.; Weisfuse, Isaac","Redefining of public health preparedness after 9/11","10.1016/S0140-6736(11)60969-0","Citato da 8"
"Foege, William H.","Redefining public health","10.1111/j.1748-720x.2004.tb00178.x","Citato da 17"
"Flexa, Raquel Gonçalves Coimbra; Barbastefano, Rafael Garcia","Public Health consortia: a literature review","10.1590/1413-81232020251.24262019","Citato da 5"
"Freedman DA; Bess KD; Tucker HA; Boyd DL; Tuchman AM; Wallston KA","Public health literacy defined","10.1016/j.amepre.2009.02.001","Citato da 470"
"Fox, Daniel M.; Kramer, Mary; Standish, Marion","From public health to population health: how law can redefine the playing field","10.1111/j.1748-720x.2003.tb00741.x","Citato da 6"
"Freudenberg, Nicholas","Defining Appropriate Roles for Corporations in Public Health Research and Practice","10.2105/AJPH.2018.304714","Citato da 4"
"Friede, A.; Blum, H. L.; McDonald, M.","Public health informatics: how information-age technology can strengthen public health","10.1146/annurev.pu.16.050195.001323","Citato da 176"
"Friedman, Daniel J.; Parrish, R. Gibson","The population health record: concepts, definition, design, and implementation","10.1136/jamia.2009.001578","Citato da 43"
"Fritz, Cristin Q.; Brittan, Mark S.; Keller, David","Inpatient Population Health—Defining the Denominator","10.1001/jamapediatrics.2019.5523","Citato da 2"
"Garcia, Macarena; Lipskiy, Nikolay; Tyson, James; Watkins, Roniqua; Esser, E. Stein; Kinley, Teresa","Centers for Disease Control and Prevention 2019 novel coronavirus disease (COVID-19) information management: addressing national health-care and public health needs for standardized data definitions and codified vocabulary for data exchange","10.1093/jamia/ocaa141","Citato da 27"
"Glass, Thomas A.; Goodman, Steven N.; Hernán, Miguel A.; Samet, Jonathan M.","Causal inference in public health","10.1146/annurev-publhealth-031811-124606","Citato da 366"
"Goldstein, B. D.","Environmental risks and public health","10.1111/j.1749-6632.2001.tb05818.x","Citato da 4"
"Gordon, A.; Womersley, J.","The use of mapping in public health and planning health services","10.1093/oxfordjournals.pubmed.a024601","Citato da 68"
"Gorenflo, G.","Defining local governmental public health","10.1097/00124784-200407000-00015","Pas d'informations sur GS"
"Gostin, L. O.","Public health law reform","10.2105/ajph.91.9.1365","Citato da 62"
"Gouda, Hebe N.; Powles, John W.","The science of epidemiology and the methods needed for public health assessments: a review of epidemiology textbooks","10.1186/1471-2458-14-139","Pas d'informations sur GS"
"Griffiths, P. D.","Defining the boundaries of public health","10.1002/rmv.366","Pas d'informations sur GS"
"Gross, David J.; Kennedy, Mary; Kothari, Tarush; Scamurra, David O.; Wilkerson, Myra L.; Crawford, James M.; Cohen, Michael B.","The Role of the Pathologist in Population Health","10.5858/arpa.2018-0223-CP","Citato da 7"
"Guglielmetti, Martina; Raggi, Alberto; Ornello, Raffaele; Sacco, Simona; D'Amico, Domenico; Leonardi, Matilde; Martelletti, Paolo","The clinical and public health implications and risks of widening the definition of chronic migraine","10.1177/0333102419895777","Citato da 8"
"Guidotti, Tee L.; Cwikel, Julie G.","Rethinking Public Health as Sustainability and Environmental Health as Environmental Justice","10.2105/AJPH.2021.306616","Pas d'informations sur GS"
"Hall, B.J.; Armstrong, R.; Francis, D.P.; Doyle, J.; Baker, P.R.A.","Enhancing capacity for 'systematic' thinking in public health","10.1093/pubmed/fdq086","Citato da 3"
"Santana, Stephanie; Brach, Cindy; Harris, Linda; Ochiai, Emmeline; Blakey, Carter; Bevington, Frances; Kleinman, Dushanka; Pronk, Nico","Updating Health Literacy for Healthy People 2030: Defining Its Importance for a New Decade in Public Health","10.1097/PHH.0000000000001324","Citato da 73"
"Seligman, P. J.; Matte, T. D.","Case definitions in public health","10.2105/ajph.81.2.161","Citato da 8"
"Sell, Kerstin; Hommes, Franziska; Fischer, Florian; Arnold, Laura","Multi-, Inter-, and Transdisciplinarity within the Public Health Workforce: A Scoping Review to Assess Definitions and Applications of Concepts","10.3390/ijerph191710902","Citato da 1"
"Sharma, S.","Redefining Public Health and Life in Occupation? COVID-19 Pandemic in Kashmir","10.1177/2393861720977014","Pas d'informations sur GS"
"Silberberg, Mina; Martinez-Bianchi, Viviana; Lyn, Michelle J.","What Is Population Health?","10.1016/j.pop.2019.07.001","Citato da 19"
"Spagnolo, Jessica; Gautier, Lara; Seppey, Mathieu; D'souza, Nicole Anne","Re-thinking global and public health projects during the COVID-19 pandemic context: Considerations and recommendations for early- and not-so-early-career researchers","10.1016/j.ssaho.2020.100075","Citato da 16"
"Speechley, Mark; Kunnilathu, Abraham; Aluckal, Eby; Balakrishna, M. S.; Mathew, Benoy; George, Eldhose K.","Screening in Public Health and Clinical Care: Similarities and Differences in Definitions, Types, and Aims - A Systematic Review","10.7860/JCDR/2017/24811.9419","Citato da 37"
"Spiegelman, Donna","Evaluating Public Health Interventions: 1. Examples, Definitions, and a Personal Note","10.2105/AJPH.2015.302923","Citato da 29"
"Steenkamer, Betty M.; Drewes, Hanneke W.; Heijink, Richard; Baan, Caroline A.; Struijs, Jeroen N.","Defining Population Health Management: A Scoping Review of the Literature","10.1089/pop.2015.0149","Citato da 76"
"Sunshine, Gregory; Barrera, Nancy; Corcoran, Aubrey Joy; Penn, Matthew","Emergency Declarations for Public Health Issues: Expanding Our Definition of Emergency","10.1177/1073110519857328","Citato da 13"
"Swarthout, Meghan; Bishop, Martin A.","Population health management: Review of concepts and definitions","10.2146/ajhp170025","Citato da 34"
"Terris, M.","Definitions of public health","10.2307/3343184","Pas d'informations sur GS"
"Terry, P.E.","A Rose is a Rose is a Rose: Reviewing Definitions for and Reimbursement for Health Promotion, Lifestyle Medicine, Behavioral Medicine, Preventive Medicine and Population Health","10.1177/08901171221106666","Pas d'informations sur GS"
"Tilson, Hugh; Gebbie, Kristine M.","The public health workforce","10.1146/annurev.publhealth.25.102802.124357","Citato da 146"
"Timen, A.; van Doornum, G. J. J.; Schutten, M.; Conyn-van Spaendonck, M. a. E.; van der Meer, J. W. M.; Osterhaus, A. D. M. E.; van Steenbergen, J. E.","Public health implications of using various case definitions in The Netherlands during the worldwide SARS outbreak","10.1111/j.1469-0691.2006.01552.x","Citato da 15"
"Tkatchenko, E.; McKee, M.; Tsouros, A. D.","Public health in Russia: the view from the inside","10.1093/heapol/15.2.164","Citato da 73"
"Ward, J.","Refining and defining public health","10.1007/bf03405339","Pas d'informations sur GS"
"Wienert, Julian; Jahnel, Tina; Maaß, Laura","What are Digital Public Health Interventions? First Steps Toward a Definition and an Intervention Classification Framework","10.2196/31921","Citato da 5"
"Ahmed, F. U.","Defining public health","10.4103/0019-557X.92397","Citato da 7"
"Al-Delaimy, W.K.","Planetary Health and Population Health: the Anthropocene Requires Different Thinking and Approaches in Serving Public Health","10.1007/s40572-018-0222-z","Citato da 5"
"Alcorn, Ted","Redefining public health in New York City","10.1016/s0140-6736(12)60879-4","Citato da 27"
"Alla, Kristel; Hall, Wayne D.; Whiteford, Harvey A.; Head, Brian W.; Meurk, Carla S.","How do we define the policy impact of public health research? A systematic review","10.1186/s12961-017-0247-z","Citato da 1"
"Allen, Clarissa; Sénécal, Karine; Avard, Denise","Defining the Scope of Public Engagement: Examining the ""Right Not to Know"" in Public Health Genomics","10.1111/jlme.12114","Citato da 12"
"Anderson, Geoffrey M.; Bronskill, Susan E.; Mustard, Cameron A.; Culyer, Anthony; Alter, David A.; Manuel, Douglas G.","Both clinical epidemiology and population health perspectives can define the role of health care in reducing health disparities","10.1016/j.jclinepi.2004.10.020","Citato da 39"
"Andrianou, Xanthi D.; Pronk, Anjoeka; Galea, Karen S.; Stierum, Rob; Loh, Miranda; Riccardo, Flavia; Pezzotti, Patrizio; Makris, Konstantinos C.","Exposome-based public health interventions for infectious diseases in urban settings","10.1016/j.envint.2020.106246","Citato da 21"
"Aslanyan, G.; Granger, L.; Edwards, N.; Elmslie, K.; Fralick, P.; Poirier, A.","The need for continuous systems thinking in public health in Canada","10.1007/bf03404223","Citato da 3"
"Ballabeni, A.","The definition of public health where to shift the focus: Prevention or population ?","10.1177/1757913915588027","Pas d'informations sur GS"
"Banta, H. David; European Advisory Committee on Health Research, World Health Organization Regional Office for Europe","Considerations in defining evidence for public health: the European Advisory Committee on Health Research World Health Organization Regional Office for Europe","10.1017/s0266462303000515","Citato da 50"
"Barbuddhe, Sukhadeo Baliram; Rawool, Deepak Bhiwa; Gaonkar, Pankaj Prakash; Vergis, Jess; Dhama, Kuldeep; Malik, Satyaveer Singh","Global scenario, public health concerns and mitigation strategies to counter current ongoing SARS-CoV-2 / COVID-19 pandemic","10.1080/21645515.2020.1810496","Citato da 7"
"Bekemeier, Betty; Walker Linderman, Tessa; Kneipp, Shawn; Zahner, Susan J.","Updating the definition and role of public health nursing to advance and guide the specialty","10.1111/phn.12157","Citato da 25"
"Bashford, Alison; Strange, Carolyn","Thinking historically about public health","10.1136/jmh.2006.000251","Citato da 27"
"Belfroid, Evelien; Roβkamp, Dorothee; Fraser, Graham; Swaan, Corien; Timen, Aura","Towards defining core principles of public health emergency preparedness: scoping review and Delphi consultation among European Union country experts","10.1186/s12889-020-09307-y","Citato da 10"
"Bircher, J.; Kuruvilla, S.","Defining health by addressing individual, social, and environmental determinants: New opportunities for health care and public health","10.1057/jphp.2014.19","Citato da 268"
"Boehme, Catharina; Hannay, Emma; Sampath, Rangarajan","SARS-CoV-2 testing for public health use: core principles and considerations for defined use settings","10.1016/S2214-109X(21)00006-1","Citato da 20"
"Bosward, Rebecca; Braunack-Mayer, Annette; Frost, Emma; Carter, Stacy","Mapping precision public health definitions, terminology and applications: a scoping review protocol","10.1136/bmjopen-2021-058069","Pas d'informations sur GS"
"Brand, Marcia K.; Morris, Thomas F.","More efforts needed to better understand rural public health","10.1097/01.PHH.0000349736.96490.1b","Citato da 4"
"Brabham, Daren C.; Ribisl, Kurt M.; Kirchner, Thomas R.; Bernhardt, Jay M.","Crowdsourcing applications for public health","10.1016/j.amepre.2013.10.016","Citato da 2"
"Hamilton, Janet J.; Turner, Kathryn; Lichtenstein Cone, Meredith","Responding to the Pandemic: Challenges With Public Health Surveillance Systems and Development of a COVID-19 National Surveillance Case Definition to Support Case-Based Morbidity Surveillance During the Early Response","10.1097/PHH.0000000000001299","Citato da 11"
"Harvey, Christopher-James; Maile, Edward J.; Baptista, Ana; Pinder, Richard J.","Teaching and learning lifestyle medicine during COVID-19: how has living during a pandemic influenced students' understanding and attitudes to self-care and population health? A qualitative analysis","10.1186/s12909-022-03590-6","Pas d'informations sur GS"
"Haynes, A.; Rychetnik, L.; Finegood, D.; Irving, M.; Freebairn, L.; Hawe, P.","Applying systems thinking to knowledge mobilisation in public health","10.1186/s12961-020-00600-1","Citato da 29"
"Heller, R. F.; Heller, T. D.; Pattison, S.","Putting the public back into public health. Part I. A re-definition of public health","10.1016/S0033-3506(02)00007-0","Citato da 32"
"Holt, R. D.","Advances in dental public health","10.1308/135576101322561903","Citato da 23"
"Hughes, R.","Definitions for public health nutrition: A developing consensus","10.1079/PHN2003487","Citato da 63"
"Ingram, C.; Langhans, T.; Perrotta, C.","Teaching design thinking as a tool to address complex public health challenges in public health students: a case study","10.1186/s12909-022-03334-6","Citato da 3"
"Iyamu, Ihoghosa; Gómez-Ramírez, Oralia; Xu, Alice X. T.; Chang, Hsiu-Ju; Haag, Devon; Watt, Sarah; Gilbert, Mark","Defining the Scope of Digital Public Health and Its Implications for Policy, Practice, and Research: Protocol for a Scoping Review","10.2196/27686","Citato da 3"
"Iyamu, Ihoghosa; Xu, Alice X. T.; Gómez-Ramírez, Oralia; Ablona, Aidan; Chang, Hsiu-Ju; Mckee, Geoff; Gilbert, Mark","Defining Digital Public Health and the Role of Digitization, Digitalization, and Digital Transformation: Scoping Review","10.2196/30399","Citato da 11"
"Jacofsky, D. J.","Population-based contracting (population health): part II","10.1302/0301-620X.99B11.BJJ-2017-0647","Citato da 2"
"Jarvis, Tamika; Scott, Fran; El-Jardali, Fadi; Alvarez, Elizabeth","Defining and classifying public health systems: a critical interpretive synthesis","10.1186/s12961-020-00583-z","Citato da 25"
"Jarrett, C.; Baxter, Y.C.; Boch, J.; Carrasco, C.; Cobos Muñoz, D.; Mauro Dib, K.; Pessoa, L.; Saric, J.; Silveira, M.; Steinmann, P.","Deconstructing design thinking as a tool for the implementation of a population health initiative","10.1186/s12961-022-00892-5","Pas d'informations sur GS"
"Jasienska, Grazyna","Public health needs evolutionary thinking","10.1073/pnas.2110985118","Citato da 2"
"Jia, Peng; Liu, Shiyong; Yang, Shujuan","Innovations in Public Health Surveillance for Emerging Infections","10.1146/annurev-publhealth-051920-093141","Pas d'informations sur GS"
"Kaplan, Robert M.; Ong, Michael","Rationale and public health implications of changing CHD risk factor definitions","10.1146/annurev.publhealth.28.021406.144141","Citato da 71"
"Kaplan, B. H.","DEFINING PUBLIC HEALTH GOALS: A TRANSACTIONAL APPROACH","10.2105/ajph.54.9.1600","Pas d'informations sur GS"
