"Author","Title","DOI","citations"
"Brault, Nicolas","ABCDaire de santé publique","","0"
"Jourdan, Didier; Bourdillon, François Préfacier","La santé publique au service du bien commun ? Politiques et pratiques de prévention à l'épreuve du discernement éthique","","0"
"Bourdillon, François; Bonnet-Galzy, Marie-Caroline Préfacier; Tabuteau, Didier Préfacier","Agir en santé publique: de la connaissance à l'action","","0"
"Bourdillon, François; Brücker, Gilles; Tabuteau, Didier; Ménard, Joël Préfacier","Traité de santé publique","","0"
"Fassin, Didier","Faire de la santé publique","","0"
"Meidani, Anastasia; Legrand, Emilie; Jacques, Béatrice; Association française de sociologie. Réseau thématique 19","La santé: du public à l'intime","","0"
"Lévy, André","Santé publique","","0"
"Aubert, Lucien; San Marco, Jean-Louis; Dimet, Jean-Paul; Jakab, Laurence; Chalabi, Nahima","Santé publique","","0"
"Dramé, Mustapha; Epstein, Jonathan; Noëlle, Hugo; Collège universitaire des enseignants de santé publique","Santé publique","","0"
"Chambaud, Laurent; Schwartz, Olivier","La santé publique en question(s)","","0"
"Rosen, George","A History of Public Health","","0"
"Inghe, G.; Wilhelmson, I.","[WHAT DO PHYSICIANS THINK OF THE ACTIVITIES OF THE PUBLIC HEALTH OFFICERS?A GOTHENBURG SURVEY]","","0"
